,original_title,release_year,budget,revenue,profit
2856,Made,2001,5000000,5476060,476060
2865,Baby Boy,2001,16000000,29381649,13381649
2875,The Dark Knight,2008,185000000,1001921825,816921825
2876,WALLÂ·E,2008,180000000,521311860,341311860
2877,Iron Man,2008,140000000,585174222,445174222
2878,Taken,2008,25000000,226830568,201830568
2879,Indiana Jones and the Kingdom of the Crystal Skull,2008,185000000,786636033,601636033
2880,Twilight,2008,37000000,392616625,355616625
2881,Quantum of Solace,2008,200000000,586090727,386090727
2882,Kung Fu Panda,2008,130000000,631744560,501744560
2883,Sex Drive,2008,19000000,18755936,-244064
2884,Mamma Mia!,2008,52000000,609841637,557841637
2885,The Curious Case of Benjamin Button,2008,150000000,333932083,183932083
2886,The Mummy: Tomb of the Dragon Emperor,2008,145000000,401128639,256128639
2887,The Incredible Hulk,2008,150000000,163712074,13712074
2888,Gran Torino,2008,33000000,269958228,236958228
2889,Madagascar: Escape 2 Africa,2008,150000000,603900354,453900354
2890,Hellboy II: The Golden Army,2008,85000000,160388063,75388063
2891,Jumper,2008,85000000,222231186,137231186
2892,Journey to the Center of the Earth,2008,45000000,101702060,56702060
2893,Wanted,2008,75000000,258270008,183270008
2895,Slumdog Millionaire,2008,15000000,377910544,362910544
2896,Transporter 3,2008,30000000,108979549,78979549
2897,Valkyrie,2008,75000000,200276000,125276000
2898,"10,000 BC",2008,105000000,266000000,161000000
2899,Hancock,2008,150000000,624029371,474029371
2900,The Hurt Locker,2008,15000000,42000000,27000000
2901,What Happens in Vegas,2008,35000000,170000000,135000000
2902,The Chronicles of Narnia: Prince Caspian,2008,225000000,419651413,194651413
2903,Tropic Thunder,2008,92000000,188072649,96072649
2904,Eagle Eye,2008,80000000,178066569,98066569
2905,The Boy in the Striped Pyjamas,2008,12500000,20416563,7916563
2906,Rambo,2008,50000000,113244290,63244290
2907,Death Race,2008,45000000,73762516,28762516
2908,Step Up 2: The Streets,2008,23000000,150816700,127816700
2909,The Day the Earth Stood Still,2008,80000000,233093859,153093859
2911,Seven Pounds,2008,55000000,168167691,113167691
2912,Cloverfield,2008,25000000,170764026,145764026
2913,Bolt,2008,150000000,309979994,159979994
2914,Forgetting Sarah Marshall,2008,30000000,105173115,75173115
2915,Australia,2008,130000000,49554002,-80445998
2916,Yes Man,2008,70000000,225990978,155990978
2917,Marley & Me,2008,60000000,244082376,184082376
2918,Body of Lies,2008,70000000,113280098,43280098
2919,Burn After Reading,2008,37000000,163720069,126720069
2920,27 Dresses,2008,30000000,160259319,130259319
2921,Inkheart,2008,60000000,57490374,-2509626
2922,21,2008,35000000,69823199,34823199
2923,The Bank Job,2008,20000000,64822796,44822796
2924,Step Brothers,2008,65000000,128107642,63107642
2926,Fool's Gold,2008,70000000,111231041,41231041
2927,Never Back Down,2008,20000000,41627431,21627431
2928,Pineapple Express,2008,27000000,101624843,74624843
2929,The Wrestler,2008,6000000,44703995,38703995
2930,Bedtime Stories,2008,80000000,212874442,132874442
2931,Punisher: War Zone,2008,20500000,10089373,-10410627
2932,Max Payne,2008,35000000,85416905,50416905
2933,Mirrors,2008,35000000,72436439,37436439
2934,Vantage Point,2008,40000000,151161491,111161491
2935,Zack and Miri Make a Porno,2008,24000000,42105111,18105111
2936,Get Smart,2008,80000000,230685453,150685453
2937,Role Models,2008,28000000,92380927,64380927
2942,Babylon A.D.,2008,70000000,72108608,2108608
2944,In Bruges,2008,15000000,32002538,17002538
2945,Changeling,2008,55000000,113020255,58020255
2946,The Spiderwick Chronicles,2008,90000000,162839667,72839667
2947,Harold & Kumar Escape from Guantanamo Bay,2008,12000000,43493123,31493123
2953,Street Kings,2008,20000000,65569869,45569869
2954,Nick and Norah's Infinite Playlist,2008,9000000,32973937,23973937
2955,Four Christmases,2008,80000000,163733697,83733697
2957,Stargate: The Ark of Truth,2008,7000000,8900000,1900000
2958,The House Bunny,2008,25000000,70442940,45442940
2960,Star Wars: The Clone Wars,2008,8500000,68282844,59782844
2961,Saw V,2008,10800000,113857533,103057533
2962,The Love Guru,2008,62000000,41819064,-20180936
2963,Speed Racer,2008,120000000,93945766,-26054234
2964,Vicky Cristina Barcelona,2008,15000000,96408652,81408652
2965,Horton Hears a Who!,2008,85000000,297138014,212138014
2968,The Forbidden Kingdom,2008,55000000,127906624,72906624
2971,Righteous Kill,2008,60000000,73174566,13174566
2972,Transsiberian,2008,15000000,5926410,-9073590
2973,Traitor,2008,22000000,23530831,1530831
2974,You Don't Mess With the Zohan,2008,90000000,201596308,111596308
2975,Defiance,2008,32000000,51155219,19155219
2977,Untraceable,2008,35000000,32483410,-2516590
2980,The Strangers,2008,9000000,82391145,73391145
2982,Milk,2008,20000000,54586584,34586584
2983,Outlander,2008,50000000,7033683,-42966317
2984,The X Files: I Want to Believe,2008,30000000,68369434,38369434
2985,Doubt,2008,20000000,50907234,30907234
2988,City of Ember,2008,55000000,17869048,-37130952
2989,Made of Honor,2008,40000000,84601681,44601681
2992,Deception,2008,25000000,17741298,-7258702
2993,RockNRolla,2008,18000000,25739015,7739015
2994,The Eye,2008,12000000,56309766,44309766
2995,Elegy,2008,13000000,14894347,1894347
2996,Bangkok Dangerous,2008,45000000,42487390,-2512610
2997,Meet the Spartans,2008,30000000,84646831,54646831
2998,Stop-Loss,2008,25000000,11207130,-13792870
3002,Blindness,2008,25000000,19844979,-5155021
3003,The Spirit,2008,60000000,39031337,-20968663
3007,Appaloosa,2008,20000000,20211394,211394
3009,The Happening,2008,60000000,163403799,103403799
3010,Doomsday,2008,30000000,22211426,-7788574
3011,The Secret of Moonacre,2008,12000000,7070330,-4929670
3014,Vals Im Bashir,2008,2000000,11125849,9125849
3017,Sex and the City,2008,65000000,415252786,350252786
3018,The Rocker,2008,15000000,8762890,-6237110
3020,The Tale of Despereaux,2008,60000000,50877145,-9122855
3023,Superhero Movie,2008,35000000,25871834,-9128166
3024,The Secret Life of Bees,2008,11000000,38105395,27105395
3026,The Other Man,2008,15000000,1143856,-13856144
3027,Beverly Hills Chihuahua,2008,20000000,149281606,129281606
3029,Revolutionary Road,2008,35000000,75225693,40225693
3031,Sunshine Cleaning,2008,5000000,16174377,11174377
3042,Ong Bak 2,2008,8500000,8936663,436663
3044,Pride and Glory,2008,30000000,31148328,1148328
3048,Baby Mama,2008,30000000,63833449,33833449
3050,College,2008,7000000,6230276,-769724
3053,Brideshead Revisited,2008,20000000,13204291,-6795709
3056,The Brothers Bloom,2008,20000000,5530764,-14469236
3057,Meet Dave,2008,60000000,50650079,-9349921
3059,Quarantine,2008,12000000,40855419,28855419
3061,Justice League: The New Frontier,2008,3500000,5231128,1731128
3075,Two Lovers,2008,12000000,3148182,-8851818
3076,Passengers,2008,25000000,2000000,-23000000
3077,The Sisterhood of the Traveling Pants 2,2008,27000000,44352417,17352417
3078,The Express,2008,40000000,9793496,-30206504
3080,Surveillance,2008,3500000,1115493,-2384507
3081,The Women,2008,16000000,50007546,34007546
3082,Gong fu guan lan,2008,10000000,22896728,12896728
3085,ÐÐ´Ð¼Ð¸Ñ€Ð°Ð»ÑŠ,2008,2000000,38135878,36135878
3089,Space Chimps,2008,37000000,63800345,26800345
3091,Lakeview Terrace,2008,20000000,27640028,7640028
3110,Jodhaa Akbar,2008,8376800,13000000,4623200
3114,Choke,2008,3000000,3830137,830137
3116,"War, Inc.",2008,5000000,1296184,-3703816
3117,The Wackness,2008,6000000,2899975,-3100025
3118,What Just Happened,2008,25000000,6673422,-18326578
3134,Disaster Movie,2008,25000000,14109284,-10890716
3137,Miracle at St. Anna,2008,45000000,9323833,-35676167
3143,My Best Friend's Girl,2008,20000000,36620508,16620508
3144,Paris,2008,19000000,23550000,4550000
3147,The Midnight Meat Train,2008,15000000,3533227,-11466773
3149,Mutant Chronicles,2008,8000000,2033165,-5966835
3158,Swing Vote,2008,21000000,17600000,-3400000
3176,W.,2008,25100000,29506464,4406464
3180,Fireproof,2008,500000,33456317,32956317
3183,Smart People,2008,7000000,10569964,3569964
3193,Nim's Island,2008,37000000,100076342,63076342
3198,Igor,2008,25000000,30000000,5000000
3206,How to Lose Friends & Alienate People,2008,27000000,17286299,-9713701
3215,Oorlogswinter,2008,4000000,530048,-3469952
3225,Welcome Home Roscoe Jenkins,2008,35000000,43650785,8650785
3235,Ghajini,2008,9100000,76000000,66900000
3243,Jaane Tu... Ya Jaane Na,2008,2300000,11100000,8800000
3257,Bottle Shock,2008,5000000,4040588,-959412
3272,Julia,2008,6000000,1300000,-4700000
3276,Kismat Konnection,2008,4180000,11000000,6820000
3311,It's Alive,2008,11000000,15500000,4500000
3340,Expelled: No Intelligence Allowed,2008,3500000,7700000,4200000
3372,Captain America: The First Avenger,2011,140000000,370569774,230569774
3373,Drive,2011,15000000,76175166,61175166
3374,Harry Potter and the Deathly Hallows: Part 2,2011,125000000,1327817822,1202817822
3375,Pirates of the Caribbean: On Stranger Tides,2011,380000000,1021683000,641683000
3376,Rise of the Planet of the Apes,2011,93000000,482860185,389860185
3377,Thor,2011,150000000,444115007,294115007
3378,In Time,2011,40000000,173930596,133930596
3379,Drive Angry,2011,50000000,28931401,-21068599
3380,The Mechanic,2011,40000000,51070807,11070807
3381,Source Code,2011,32000000,147332697,115332697
3382,Mission: Impossible - Ghost Protocol,2011,145000000,694713380,549713380
3383,"Crazy, Stupid, Love.",2011,50000000,142851197,92851197
3384,The Girl with the Dragon Tattoo,2011,90000000,232617430,142617430
3385,Limitless,2011,27000000,161849455,134849455
3386,Kung Fu Panda 2,2011,150000000,665692281,515692281
3387,Just Go With It,2011,80000000,214918407,134918407
3388,Horrible Bosses,2011,35000000,117000000,82000000
3389,Real Steel,2011,110000000,299268508,189268508
3390,Friends with Benefits,2011,35000000,150483765,115483765
3391,Bad Teacher,2011,20000000,216197492,196197492
3392,Sherlock Holmes: A Game of Shadows,2011,125000000,334615000,209615000
3393,Cars 2,2011,200000000,559852396,359852396
3394,Green Lantern,2011,200000000,219851172,19851172
3395,The Hangover Part II,2011,80000000,254455986,174455986
3396,No Strings Attached,2011,25000000,147780440,122780440
3397,The Adventures of Tintin,2011,130000000,371940071,241940071
3398,Bridesmaids,2011,32500000,288383523,255883523
3399,Hall Pass,2011,36000000,83160734,47160734
3400,Super 8,2011,50000000,260095987,210095987
3401,Sucker Punch,2011,82000000,89792502,7792502
3402,Red Riding Hood,2011,42000000,89162162,47162162
3403,The Twilight Saga: Breaking Dawn - Part 1,2011,110000000,712171856,602171856
3404,Shame,2011,6500000,17693675,11193675
3406,Mr. Popper's Penguins,2011,55000000,187361754,132361754
3407,The Tree of Life,2011,32000000,54674226,22674226
3408,I Am Number Four,2011,50000000,144492830,94492830
3409,Rio,2011,90000000,484635760,394635760
3410,The Artist,2011,15000000,133432856,118432856
3411,Zookeeper,2011,80000000,169852759,89852759
3412,Cowboys & Aliens,2011,163000000,174822325,11822325
3414,War Horse,2011,66000000,177584879,111584879
3415,50/50,2011,8000000,39187783,31187783
3416,Rango,2011,135000000,245724603,110724603
3417,The Change-Up,2011,52000000,75450437,23450437
3418,Hugo,2011,170000000,185770160,15770160
3419,The Lincoln Lawyer,2011,40000000,85412898,45412898
3420,Ghost Rider: Spirit of Vengeance,2011,57000000,149217355,92217355
3421,One Day,2011,15000000,59389433,44389433
3422,Killer Elite,2011,66000000,57777106,-8222894
3423,The Rite,2011,37000000,96047633,59047633
3424,Winnie the Pooh,2011,30000000,14460000,-15540000
3425,The Three Musketeers,2011,75000000,132274484,57274484
3427,Chalet Girl,2011,8000000,1749457,-6250543
3429,Midnight in Paris,2011,30000000,151119219,121119219
3430,Priest,2011,60000000,78309131,18309131
3432,Young Adult,2011,12000000,22939027,10939027
3433,Warrior,2011,25000000,23057115,-1942885
3434,Abduction,2011,35000000,82087155,47087155
3435,Unknown,2011,30000000,130786397,100786397
3436,The Adjustment Bureau,2011,50200000,127869379,77669379
3437,Immortals,2011,75000000,226904017,151904017
3439,Larry Crowne,2011,30000000,36160375,6160375
3440,Paul,2011,40000000,97552050,57552050
3443,Colombiana,2011,40000000,60965854,20965854
3444,Battle: Los Angeles,2011,70000000,202466756,132466756
3445,Final Destination 5,2011,47000000,157887643,110887643
3446,Machine Gun Preacher,2011,30000000,2527904,-27472096
3447,Jack and Jill,2011,79000000,149673788,70673788
3448,What's Your Number?,2011,20000000,30426096,10426096
3449,Season of the Witch,2011,40000000,88100000,48100000
3450,My Week with Marilyn,2011,6400000,35057696,28657696
3452,We Bought a Zoo,2011,50000000,120081841,70081841
3454,The Darkest Hour,2011,30000000,64626786,34626786
3455,The Help,2011,25000000,124272124,99272124
3456,The Grey,2011,25000000,77278331,52278331
3457,Moneyball,2011,50000000,110206216,60206216
3458,We Need to Talk About Kevin,2011,7000000,6038942,-961058
3459,The Roommate,2011,16000000,40492759,24492759
3460,Puss in Boots,2011,130000000,554987477,424987477
3462,The Green Hornet,2011,120000000,227817248,107817248
3463,Something Borrowed,2011,35000000,59901913,24901913
3464,Conan the Barbarian,2011,90000000,48795021,-41204979
3466,Johnny English Reborn,2011,45000000,160078586,115078586
3467,Contagion,2011,60000000,135458097,75458097
3469,The Big Year,2011,41000000,7448385,-33551615
3470,Beastly,2011,17000000,43165571,26165571
3471,A Very Harold & Kumar Christmas,2011,19000000,35387212,16387212
3472,The Thing,2011,35000000,28128670,-6871330
3473,Tower Heist,2011,75000000,152930623,77930623
3474,New Year's Eve,2011,56000000,142044638,86044638
3475,Your Highness,2011,49900000,26121638,-23778362
3480,Apollo 18,2011,5000000,25562924,20562924
3481,Fright Night,2011,17000000,24922237,7922237
3482,Happy Feet Two,2011,130000000,150406466,20406466
3483,Scream 4,2011,40000000,97138686,57138686
3484,Mars Needs Moms,2011,150000000,38992758,-111007242
3485,Attack the Block,2011,14350531,3964682,-10385849
3486,Diary of a Wimpy Kid: Rodrick Rules,2011,21000000,72417394,51417394
3488,Extremely Loud & Incredibly Close,2011,40000000,55247881,15247881
3490,Alvin and the Chipmunks: Chipwrecked,2011,75000000,342695435,267695435
3491,The Beaver,2011,21000000,970816,-20029184
3492,Straw Dogs,2011,25000000,10324441,-14675559
3493,The Best Exotic Marigold Hotel,2011,10000000,136836156,126836156
3494,The Smurfs,2011,110000000,563749323,453749323
3496,Hanna,2011,30000000,63782078,33782078
3499,A Few Best Men,2011,12468389,29007412,16539023
3502,Flypaper,2011,5000000,3142154,-1857846
3503,Margin Call,2011,3500000,19504039,16004039
3504,Gnomeo & Juliet,2011,36000000,189712432,153712432
3505,Blitz,2011,15774948,741875,-15033073
3507,The Descendants,2011,20000000,177243185,157243185
3508,Hop,2011,63000000,183953723,120953723
3509,The Rum Diary,2011,45000000,24000000,-21000000
3511,The Guard,2011,6000000,19560274,13560274
3513,Our Idiot Brother,2011,10000000,17273593,7273593
3514,The Ledge,2011,10000000,610986,-9389014
3515,Footloose,2011,24000000,63543328,39543328
3517,Trespass,2011,36000000,9612469,-26387531
3518,Carnage,2011,25000000,27603069,2603069
3520,The Ides of March,2011,12500000,75993061,63493061
3522,Transformers: Dark of the Moon,2011,195000000,1123746996,928746996
3523,Paranormal Activity 3,2011,5000000,205703818,200703818
3525,The Dilemma,2011,70000000,67112664,-2887336
3526,Take Me Home Tonight,2011,19000000,6928068,-12071932
3530,A Lonely Place to Die,2011,4000000,25345000,21345000
3531,The Muppets,2011,45000000,165184237,120184237
3532,Spy Kids: All the Time in the World,2011,27000000,85564310,58564310
3537,Seeking Justice,2011,17000000,12355798,-4644202
3539,Arthur,2011,40000000,45735397,5735397
3543,The Eagle,2011,25000000,27122040,2122040
3544,The Sitter,2011,25000000,34942188,9942188
3547,W.E.,2011,15000000,868439,-14131561
3557,Coriolanus,2011,7700000,1072602,-6627398
3558,J. Edgar,2011,35000000,84606030,49606030
3559,Sanctum,2011,30000000,108609310,78609310
3561,I Don't Know How She Does It,2011,24000000,30551495,6551495
3562,A Dangerous Method,2011,15000000,27462041,12462041
3563,Soul Surfer,2011,18000000,47088990,29088990
3564,30 Minutes or Less,2011,28000000,40547440,12547440
3566,Hoodwinked Too! Hood VS. Evil,2011,30000000,13521829,-16478171
3576,Water for Elephants,2011,38000000,114156230,76156230
3577,Dream House,2011,50000000,38502340,-11497660
3578,A Better Life,2011,10000000,1759252,-8240748
3583,Rampart,2011,12000000,972512,-11027488
3585,Take Shelter,2011,5000000,3099314,-1900686
3586,Prom,2011,8000000,10130000,2130000
3589,Pina,2011,4317946,14624826,10306880
3595,Courageous,2011,1000000,34522221,33522221
3598,Black Gold,2011,40000000,5446000,-34554000
3601,Killer Joe,2011,10000000,3665069,-6334931
3604,"Big Mommas: Like Father, Like Son",2011,32000000,83615414,51615414
3610,Dolphin Tale,2011,37000000,95404397,58404397
3615,Xin shao lin si,2011,29000000,33662874,4662874
3619,Fast Five,2011,125000000,626137675,501137675
3628,Jumping the Broom,2011,6600000,37710610,31110610
3631,Silent House,2011,2000000,13101672,11101672
3642,Monte Carlo,2011,20000000,17425000,-2575000
3643,Win Win,2011,10831173,10654385,-176788
3654,The Double,2011,17000000,3696232,-13303768
3661,The Iron Lady,2011,13000000,114956699,101956699
3664,Red State,2011,4000000,1104682,-2895318
3666,The Devil's Double,2011,19100000,5728213,-13371787
3680,Shark Night,2011,28000000,10126458,-17873542
3685,Hobo with a Shotgun,2011,3000000,672648,-2327352
3686,Madea's Big Happy Family,2011,25000000,53213633,28213633
3691,Atlas Shrugged Part I,2011,15000000,4627375,-10372625
3698,This Must Be the Place,2011,25000000,11790979,-13209021
3717,Albert Nobbs,2011,8000000,5634828,-2365172
3766,Justin Bieber: Never Say Never,2011,13000000,98441954,85441954
3786,"Jeff, Who Lives at Home",2011,10000000,4417580,-5582420
3801,X-Men: First Class,2011,160000000,344420111,184420111
3832,Glee: The Concert Movie,2011,9000000,18663238,9663238
3911,The Lord of the Rings: The Two Towers,2002,79000000,926287400,847287400
3912,Harry Potter and the Chamber of Secrets,2002,100000000,876688482,776688482
3913,Ice Age,2002,59000000,383257136,324257136
3914,The Bourne Identity,2002,60000000,214034224,154034224
3915,Resident Evil,2002,33000000,102441078,69441078
3916,Spider-Man,2002,139000000,821708551,682708551
3917,Star Wars: Episode II - Attack of the Clones,2002,120000000,649398328,529398328
3918,Catch Me If You Can,2002,52000000,352114312,300114312
3919,Men in Black II,2002,140000000,441818803,301818803
3920,The Pianist,2002,35000000,120072577,85072577
3921,Minority Report,2002,102000000,358372926,256372926
3922,Lilo & Stitch,2002,80000000,145771527,65771527
3923,The Transporter,2002,21000000,43928932,22928932
3924,xXx,2002,70000000,277448382,207448382
3925,Treasure Planet,2002,140000000,109578115,-30421885
3926,Die Another Day,2002,140000000,431971116,291971116
3927,28 Days Later...,2002,5000000,82719885,77719885
3928,Maid in Manhattan,2002,55000000,154906693,99906693
3929,Blade II,2002,54000000,155010032,101010032
3930,Gangs of New York,2002,100000000,193772504,93772504
3931,Panic Room,2002,48000000,196397415,148397415
3932,Stuart Little 2,2002,120000000,169956806,49956806
3933,National Lampoonâ€™s Van Wilder,2002,5000000,38275483,33275483
3934,8 Mile,2002,41000000,215000000,174000000
3935,Mr. Deeds,2002,50000000,171269535,121269535
3936,Bend It Like Beckham,2002,3500159,76578641,73078482
3938,Two Weeks Notice,2002,60000000,93354918,33354918
3939,Signs,2002,72000000,408247917,336247917
3940,The Ring,2002,48000000,249348933,201348933
3942,A Walk to Remember,2002,11000000,41227069,30227069
3943,My Big Fat Greek Wedding,2002,5000000,368744044,363744044
3944,About a Boy,2002,27000000,129000000,102000000
3946,Collateral Damage,2002,85000000,78382433,-6617567
3947,Phone Booth,2002,13000000,97837138,84837138
3948,Star Trek: Nemesis,2002,60000000,67312826,7312826
3949,Equilibrium,2002,20000000,5359645,-14640355
3950,The Good Girl,2002,8000000,16856124,8856124
3951,The Hours,2002,25000000,108846072,83846072
3952,Road to Perdition,2002,80000000,181001478,101001478
3953,Austin Powers in Goldmember,2002,63000000,296633907,233633907
3954,The Santa Clause 2,2002,65000000,172855065,107855065
3955,Insomnia,2002,46000000,113714830,67714830
3956,Ghost Ship,2002,35000000,68349884,33349884
3957,Scooby-Doo,2002,84000000,275650703,191650703
3959,Spirit: Stallion of the Cimarron,2002,80000000,122563539,42563539
3960,D-Tox,2002,55000000,6416302,-48583698
3962,The Scorpion King,2002,60000000,165333180,105333180
3963,I Spy,2002,70000000,33561137,-36438863
3964,Bowling for Columbine,2002,4000000,35564473,31564473
3965,25th Hour,2002,15000000,13060843,-1939157
3970,We Were Soldiers,2002,75000000,114660784,39660784
3971,Jackass: The Movie,2002,5000000,64282312,59282312
3973,Frida,2002,12000000,56298474,44298474
3974,Murder by Numbers,2002,50000000,56714147,6714147
3975,Adaptation.,2002,19000000,32801173,13801173
3976,Sweet Home Alabama,2002,30000000,180622424,150622424
3977,Barbershop,2002,12000000,75781642,63781642
3978,Dark Blue,2002,15000000,9237470,-5762530
3979,The Time Machine,2002,80000000,123729176,43729176
3980,Undisputed,2002,20000000,12398628,-7601372
3981,The Sweetest Thing,2002,43000000,68696770,25696770
3983,Windtalkers,2002,115000000,77628265,-37371735
3984,John Q,2002,36000000,102244770,66244770
3988,Unfaithful,2002,50000000,119137784,69137784
3989,Changing Lanes,2002,45000000,94935764,49935764
3990,Punch-Drunk Love,2002,25000000,17000000,-8000000
3991,K-19: The Widowmaker,2002,100000000,35168966,-64831034
3995,Queen of the Damned,2002,35000000,45479110,10479110
3996,Spy Kids 2: Island of Lost Dreams,2002,38000000,119723358,81723358
3998,Enough,2002,38000000,51801187,13801187
3999,Friday After Next,2002,20000000,33526835,13526835
4000,Return to Never Land,2002,20000000,109862682,89862682
4002,Life or Something Like It,2002,40000000,16872671,-23127329
4003,Slackers,2002,14000000,6413915,-7586085
4006,Chicago,2002,45000000,306776732,261776732
4007,One Hour Photo,2002,12000000,52223306,40223306
4008,Femme Fatale,2002,35000000,16838910,-18161090
4010,City By The Sea,2002,40000000,22433915,-17566085
4013,Reign of Fire,2002,60000000,43061982,-16938018
4014,Showtime,2002,85000000,77741732,-7258268
4016,High Crimes,2002,42000000,63781810,21781810
4017,Moonlight Mile,2002,21000000,10011050,-10988950
4018,Hart's War,2002,70000000,32287044,-37712956
4019,About Schmidt,2002,30000000,105834556,75834556
4020,Blue Crush,2002,25000000,51842679,26842679
4021,Blood Work,2002,50000000,26199517,-23800483
4022,Solaris,2002,47000000,30002758,-16997242
4024,The Four Feathers,2002,35000000,29882645,-5117355
4025,The Quiet American,2002,30000000,27674124,-2325876
4029,The Mothman Prophecies,2002,32000000,55157539,23157539
4032,Far from Heaven,2002,13500000,29027914,15527914
4033,The Rookie,2002,20000000,75597042,55597042
4034,Bad Company,2002,70000000,65977295,-4022705
4036,Confessions of a Dangerous Mind,2002,30000000,33013805,3013805
4042,Ballistic: Ecks vs. Sever,2002,70000000,19924033,-50075967
4044,Trapped,2002,30000000,6916869,-23083131
4048,Clockstoppers,2002,26000000,38793283,12793283
4049,Halloween: Resurrection,2002,13000000,37664855,24664855
4050,Salton Sea,2002,18000000,676698,-17323302
4053,Big Fat Liar,2002,15000000,52970014,37970014
4055,Narc,2002,6500000,12633747,6133747
4062,Brown Sugar,2002,8000000,27362712,19362712
4065,Antwone Fisher,2002,12500000,23367586,10867586
4070,Igby Goes Down,2002,9000000,4777465,-4222535
4072,Swept Away,2002,10000000,598645,-9401355
4074,Boat Trip,2002,20000000,8586376,-11413624
4077,Crossroads,2002,12000000,61141030,49141030
4078,The Adventures of Pluto Nash,2002,100000000,7103973,-92896027
4080,Abandon,2002,25000000,10719357,-14280643
4087,Red Dragon,2002,78000000,209196298,131196298
4089,Serving Sara,2002,29000000,16930185,-12069815
4092,Dragonfly,2002,60000000,52322400,-7677600
4094,Drumline,2002,20000000,57588485,37588485
4113,All About the Benjamins,2002,14000000,25482931,11482931
4115,FearDotCom,2002,40000000,18902015,-21097985
4119,Auto Focus,2002,7000000,2062066,-4937934
4120,The Powerpuff Girls,2002,10000000,11411644,1411644
4123,Possession,2002,25000000,10113733,-14886267
4128,Full Frontal,2002,2000000,2506446,506446
4132,Big Trouble,2002,40000000,8493890,-31506110
4141,Undercover Brother,2002,25000000,41604473,16604473
4177,Pulp Fiction,1994,8000000,213928762,205928762
4178,The Shawshank Redemption,1994,25000000,28341469,3341469
4179,Forrest Gump,1994,55000000,677945399,622945399
4180,The Lion King,1994,45000000,788241776,743241776
4181,Speed,1994,30000000,350448145,320448145
4182,Dumb and Dumber,1994,17000000,247275374,230275374
4183,The Naked Gun 33â…“: The Final Insult,1994,30000000,51132598,21132598
4184,Interview with the Vampire,1994,60000000,223664608,163664608
4186,True Lies,1994,115000000,378882411,263882411
4187,The Mask,1994,23000000,351583407,328583407
4189,Stargate,1994,55000000,196567262,141567262
4190,Clear and Present Danger,1994,62000000,215887717,153887717
4191,Natural Born Killers,1994,34000000,50282766,16282766
4193,Beverly Hills Cop III,1994,50000000,119208989,69208989
4194,The Santa Clause,1994,22000000,189833357,167833357
4195,Legends of the Fall,1994,30000000,160638883,130638883
4197,Four Weddings and a Funeral,1994,6000000,254700832,248700832
4200,The Client,1994,45000000,117615211,72615211
4201,The Crow,1994,15000000,94000000,79000000
4203,The Flintstones,1994,46000000,341631208,295631208
4205,Star Trek: Generations,1994,38000000,120000000,82000000
4206,Ace Ventura: Pet Detective,1994,15000000,107217396,92217396
4209,Disclosure,1994,55000000,214015089,159015089
4210,Junior,1994,60000000,37000000,-23000000
4211,New Nightmare,1994,14000000,18090181,4090181
4212,The Shadow,1994,25000000,48063435,23063435
4213,Heavenly Creatures,1994,5000000,3049135,-1950865
4214,The Swan Princess,1994,35000000,9771658,-25228342
4215,The Pagemaster,1994,27000000,13670688,-13329312
4216,The Next Karate Kid,1994,12000000,15826984,3826984
4219,Color of Night,1994,40000000,19726050,-20273950
4220,Ed Wood,1994,18000000,5887457,-12112543
4221,Timecop,1994,27000000,101646581,74646581
4222,Wyatt Earp,1994,63000000,25052000,-37948000
4227,Terminal Velocity,1994,50000000,16478900,-33521100
4229,Muriel's Wedding,1994,3000000,15119639,12119639
4230,Street Fighter,1994,35000000,99423521,64423521
4231,The Specialist,1994,45000000,170362582,125362582
4233,Thumbelina,1994,28000000,11373501,-16626499
4234,Highlander III: The Sorcerer,1994,26000000,36800000,10800000
4235,On Deadly Ground,1994,50000000,49000000,-1000000
4240,Frankenstein,1994,45000000,112006296,67006296
4241,Renaissance Man,1994,40000000,24332324,-15667676
4242,A Low Down Dirty Shame,1994,10000000,29392418,19392418
4244,PrÃªt-Ã -Porter,1994,15000000,11300653,-3699347
4245,The Chase,1994,26000000,8009329,-17990671
4247,Reality Bites,1994,11500000,20079850,8579850
4274,Hoop Dreams,1994,700000,7830611,7130611
4277,Double Dragon,1994,3500000,2341309,-1158691
4285,The Ref,1994,11000000,11439193,439193
4291,The Air Up There,1994,17080000,21011500,3931500
4303,Don Juan DeMarco,1994,25000000,22200000,-2800000
4309,Leprechaun 2,1994,2000000,2260622,260622
4312,Baby's Day Out,1994,50000000,16671505,-33328495
4315,Surviving the Game,1994,7400000,7690013,290013
4318,Intersection,1994,45000000,21355893,-23644107
4322,Serial Mom,1994,13000000,7820688,-5179312
4352,PCU,1994,9000000,4350774,-4649226
4361,The Avengers,2012,220000000,1519557910,1299557910
4362,Underworld: Awakening,2012,70000000,132400000,62400000
4363,The Dark Knight Rises,2012,250000000,1081041287,831041287
4364,Django Unchained,2012,100000000,425368238,325368238
4365,Skyfall,2012,200000000,1108561013,908561013
4366,The Bourne Legacy,2012,130000000,276572938,146572938
4367,The Hobbit: An Unexpected Journey,2012,250000000,1017003568,767003568
4368,Prometheus,2012,130000000,403170142,273170142
4369,Silver Linings Playbook,2012,21000000,205738714,184738714
4370,The Amazing Spider-Man,2012,215000000,752215857,537215857
4371,Brave,2012,185000000,538983207,353983207
